Carton;Estado;Bingo;Fecha;Organizador
0001;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0002;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0003;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0004;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0005;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0006;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0007;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0008;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0009;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0010;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0011;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0012;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0013;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0014;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0015;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0016;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0017;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0018;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0019;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0020;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0021;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0022;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
0023;NO ACTIVO;AM IGOS PEREGRINOS;20/08/26;AMIGOS PEREGRINOS
