Carton;Estado;Bingo;Fecha;Organizador
0001;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0002;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0003;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0004;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0005;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0006;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0007;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0008;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0009;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0010;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0011;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0012;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0013;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0014;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0015;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0016;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0017;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0018;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0019;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0020;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0021;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0022;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0023;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0024;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0025;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0026;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0027;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0028;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0029;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0030;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0031;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0032;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0033;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0034;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0035;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
0036;NO ACTIVO;BINGO DE LOS AMIGOS;27/7/26;amigos del Bingo
