Carton;Estado;Bingo;Fecha;Organizador
0001;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0002;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0003;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0004;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0005;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0006;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0007;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0008;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0009;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0010;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0011;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0012;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0013;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0014;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0015;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0016;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0017;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0018;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0019;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0020;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0021;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0022;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0023;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0024;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0025;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0026;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0027;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0028;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0029;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0030;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0031;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0032;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0033;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0034;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0035;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0036;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0037;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0038;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0039;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0040;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0041;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0042;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0043;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0044;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0045;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0046;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0047;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0048;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0049;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0050;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0051;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0052;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0053;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0054;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0055;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0056;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0057;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0058;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0059;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0060;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0061;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0062;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0063;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0064;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0065;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0066;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0067;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0068;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0069;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0070;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0071;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0072;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0073;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
0074;NO ACTIVO;BINGO PRO A;26/07/2026;BINGO PRUEBA A
