Carton;Estado;Bingo;Fecha;Organizador
0001;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0002;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0003;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0004;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0005;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0006;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0007;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0008;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0009;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0010;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0011;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0012;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0013;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0014;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0015;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0016;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0017;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0018;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0019;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0020;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0021;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0022;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0023;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0024;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0025;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0026;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0027;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0028;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0029;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0030;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0031;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0032;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0033;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0034;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0035;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0036;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0037;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
0038;ACTIVO;PRUEBA DE IMPRESIONES;26/07/26;prueba
