Carton;Estado;Bingo;Fecha;Organizador
0001;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0002;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0003;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0004;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0005;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0006;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0007;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0008;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0009;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0010;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0011;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0012;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0013;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0014;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0015;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0016;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0017;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0018;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0019;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0020;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0021;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0022;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
0023;NO ACTIVO;SUEÑOS DORADOS;31/08/2026;COMISION CLUB RIO DORADO
